iter	Passed	Remaining
1404	11441	20757
1405	11450	20750
1406	11457	20741
1407	11465	20732
1408	11473	20724
1409	11482	20717
1410	11491	20710
1411	11499	20702
1412	11507	20694
1413	11516	20686
1414	11524	20678
1415	11531	20668
1416	11540	20661
1417	11547	20651
1418	11556	20644
1419	11564	20636
1420	11572	20628
1421	11580	20620
1422	11589	20613
1423	11597	20605
1424	11605	20597
1425	11614	20589
1426	11622	20581
1427	11630	20573
1428	11639	20567
1429	11648	20559
1430	11656	20551
1431	11664	20543
1432	11672	20535
1433	11680	20525
1434	11688	20518
1435	11697	20510
1436	11706	20505
1437	11715	20497
1438	11723	20489
1439	11731	20481
1440	11739	20472
1441	11747	20464
1442	11756	20456
1443	11764	20448
1444	11772	20441
1445	11779	20430
1446	11787	20423
1447	11795	20414
1448	11803	20405
1449	11811	20397
1450	11820	20390
1451	11828	20382
1452	11836	20373
1453	11844	20365
1454	11853	20358
1455	11861	20349
1456	11866	20336
1457	11874	20328
1458	11882	20320
1459	11891	20312
1460	11899	20304
1461	11907	20295
1462	11915	20287
1463	11923	20279
1464	11932	20272
1465	11939	20262
1466	11947	20254
1467	11955	20246
1468	11964	20238
1469	11972	20231
1470	11980	20223
1471	11988	20214
1472	11996	20206
1473	12005	20199
1474	12013	20190
1475	12021	20181
1476	12029	20173
1477	12036	20164
1478	12044	20156
1479	12053	20148
1480	12060	20138
1481	12068	20130
1482	12076	20122
1483	12084	20114
1484	12092	20104
1485	12101	20097
1486	12107	20087
1487	12115	20078
1488	12123	20070
1489	12132	20063
1490	12141	20056
1491	12149	20048
1492	12157	20040
1493	12165	20030
1494	12173	20023
1495	12181	20015
1496	12189	20006
1497	12195	19994
1498	12203	19986
1499	12212	19979
1500	12220	19971
1501	12228	19963
1502	12237	19955
1503	12244	19946
1504	12252	19937
1505	12259	19927
1506	12267	19919
1507	12276	19912
1508	12283	19902
1509	12292	19895
1510	12300	19888
1511	12310	19882
1512	12319	19875
1513	12327	19867
1514	12335	19859
1515	12343	19850
1516	12348	19836
1517	12356	19829
1518	12365	19821
1519	12373	19813
1520	12380	19804
1521	12389	19796
1522	12396	19787
1523	12405	19779
1524	12412	19771
1525	12421	19763
1526	12429	19755
1527	12438	19748
1528	12445	19738
1529	12453	19730
1530	12461	19722
1531	12469	19713
1532	12477	19705
1533	12486	19698
1534	12495	19691
1535	12503	19682
1536	12510	19674
1537	12519	19666
1538	12527	19658
1539	12535	19649
1540	12543	19641
1541	12551	19633
1542	12559	19625
1543	12568	19618
1544	12577	19610
1545	12584	19601
1546	12593	19593
1547	12602	19587
1548	12610	19579
1549	12619	19571
1550	12627	19564
1551	12635	19556
1552	12644	19548
1553	12652	19540
1554	12660	19532
1555	12668	19524
1556	12677	19516
1557	12685	19508
1558	12693	19499
1559	12702	19493
1560	12711	19485
1561	12719	19477
1562	12726	19468
1563	12734	19460
1564	12743	19452
1565	12751	19444
1566	12760	19437
1567	12772	19436
1568	12784	19432
1569	12793	19426
1570	12802	19419
1571	12809	19410
1572	12818	19402
1573	12825	19393
1574	12833	19385
1575	12841	19376
1576	12849	19368
1577	12857	19359
1578	12864	19349
1579	12872	19341
1580	12879	19332
1581	12888	19323
1582	12896	19316
1583	12904	19307
1584	12911	19298
1585	12920	19290
1586	12927	19282
1587	12936	19273
1588	12944	19266
1589	12951	19256
1590	12959	19247
1591	12966	19238
1592	12974	19229
1593	12982	19221
1594	12990	19213
1595	12996	19201
1596	13003	19191
1597	13010	19182
1598	13018	19174
1599	13027	19166
1600	13035	19158
1601	13043	19150
1602	13051	19141
1603	13059	19132
1604	13067	19124
1605	13074	19115
1606	13082	19107
1607	13091	19099
1608	13099	19091
1609	13106	19082
1610	13115	19074
1611	13122	19065
1612	13127	19052
1613	13136	19045
1614	13145	19037
1615	13153	19030
1616	13161	19021
1617	13169	19013
1618	13177	19004
1619	13185	18996
1620	13193	18988
1621	13202	18981
1622	13210	18972
1623	13218	18965
1624	13226	18956
1625	13234	18948
1626	13242	18939
1627	13250	18931
1628	13258	18922
1629	13265	18913
1630	13273	18905
1631	13282	18898
1632	13290	18890
1633	13299	18883
1634	13307	18874
1635	13315	18866
1636	13323	18857
1637	13331	18850
1638	13337	18838
1639	13345	18830
1640	13353	18822
1641	13361	18813
1642	13369	18805
1643	13377	18796
1644	13385	18788
1645	13393	18779
1646	13401	18771
1647	13409	18763
1648	13417	18754
1649	13425	18746
1650	13433	18738
1651	13441	18729
1652	13449	18722
1653	13457	18713
1654	13465	18705
1655	13473	18697
1656	13482	18689
1657	13489	18680
1658	13498	18673
1659	13506	18664
1660	13514	18656
1661	13522	18647
1662	13530	18640
1663	13538	18631
1664	13546	18623
1665	13555	18615
1666	13563	18608
1667	13571	18599
1668	13580	18592
1669	13588	18584
1670	13596	18576
1671	13604	18568
1672	13612	18559
1673	13620	18550
